Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
CeeDee Lamb,77,841,4,10,2,65,38,49.4,1,353,118
Brock Bowers,74,744,3,8,1,57,38,51.4,0,395,99
Ja'Marr Chase,73,1056,12,13,6,70,47,64.4,0,481,100
Amon-Ra St. Brown,71,747,9,8,0,35,47,66.2,0,246,85
Garrett Wilson,69,722,5,11,0,35,40,58,1,282,108
Travis Kelce,68,569,2,7,0,38,30,44.1,2,232,88
Malik Nabers,67,671,3,8,0,39,37,55.2,1,208,103
Jaxon Smith-Njigba,66,755,4,8,2,46,37,56.1,1,338,93
Justin Jefferson,61,939,5,18,3,97,41,67.2,1,258,91
Drake London,61,710,6,4,0,31,39,63.9,0,175,90
Trey McBride,61,685,0,6,0,37,35,57.4,0,276,80
Wan'Dale Robinson,61,441,2,2,0,23,23,37.7,0,229,89
Zay Flowers,57,789,4,15,2,53,36,63.2,0,389,87
Courtland Sutton,57,744,5,13,0,37,38,66.7,1,132,95
Khalil Shakir,56,599,2,7,1,52,26,46.4,0,460,66
Alvin Kamara,55,443,1,5,1,57,14,25.4,1,466,73
Cooper Kupp,55,548,5,7,1,69,21,38.2,1,236,77
DJ Moore,54,566,4,7,1,44,25,46.3,0,312,80
Josh Downs,53,594,4,7,1,69,31,58.5,0,246,78
Terry McLaurin,53,823,7,10,5,86,37,69.8,0,229,74
Jakobi Meyers,53,579,2,6,0,33,32,60.4,0,170,75
George Pickens,52,776,2,14,3,44,32,61.5,1,157,84
Hunter Henry,51,535,1,4,0,35,30,58.8,0,212,74
Chris Godwin,50,576,5,7,2,55,32,64,1,350,62
Cade Otton,50,486,4,5,0,30,26,52,2,237,73
